variable,speaker,time,word,realization
velar nasals,KT003,931.19,things,
velar nasals,KT003,989.64,during,
velar nasals,KT003,1011.94,young,
velar nasals,KT003,1013.5,morning,
velar nasals,KT003,1018.09,morning,
velar nasals,KT003,1020.05,meeting,
velar nasals,KT003,1020.96,evening,
velar nasals,KT003,1063.69,think,
velar nasals,KT003,1105.85,things,
velar nasals,KT003,1145.07,having,
velar nasals,KT003,1169.7,attending,
velar nasals,KT003,1190.05,things,
velar nasals,KT003,1216.71,drinking,
velar nasals,KT003,1216.89,drinking,
velar nasals,KT003,1224.6,things,
velar nasals,KT003,1229.71,young,
velar nasals,KT003,1236.9,nursing,
velar nasals,KT003,1243.65,being,
velar nasals,KT003,1275.51,being,
velar nasals,KT003,1284.6,anything,
velar nasals,KT003,1295.42,being,
velar nasals,KT003,1299.8,something,
velar nasals,KT003,1337.62,think,
velar nasals,KT003,1374.28,young,
velar nasals,KT003,1379.01,things,
velar nasals,KT003,1383.04,understanding,
velar nasals,KT003,1403.4,uncles,
velar nasals,KT003,1421.99,england,
velar nasals,KT003,1441.74,whooping,
velar nasals,KT003,1451.59,whooping,
velar nasals,KT003,1472.54,having,
velar nasals,KT003,1509.89,anything,
velar nasals,KT003,1595.33,anything,
velar nasals,KT003,1598.7,things,
velar nasals,KT003,1627.5,anything,
velar nasals,KT003,1638.95,things,
velar nasals,KT003,1641.45,keeping,
velar nasals,KT003,1647.96,think,
velar nasals,KT003,1651.47,things,
velar nasals,KT003,1659.2,feeling,
velar nasals,KT003,1660.82,writing,
thr-flapping,KT003,67.19,threw,
thr-flapping,KT003,640.75,thrilling,
thr-flapping,KT003,851.62,bathrobe,
thr-flapping,KT003,854.84,bathrobe,
thr-flapping,KT003,983.31,through,
wh aspiration,KT003,56.98,when,
wh aspiration,KT003,124.03,what,
wh aspiration,KT003,153.71,when,
wh aspiration,KT003,170.77,what,
wh aspiration,KT003,220.16,what,
wh aspiration,KT003,233.25,when,
wh aspiration,KT003,264.99,while,
wh aspiration,KT003,266.2,when,
wh aspiration,KT003,277.43,what,
wh aspiration,KT003,289.6,when,
wh aspiration,KT003,308.69,when,
wh aspiration,KT003,342.61,when,
wh aspiration,KT003,343.88,what,
wh aspiration,KT003,352.57,when,
wh aspiration,KT003,390.23,when,
wh aspiration,KT003,401.34,when,
wh aspiration,KT003,409.9,what,
wh aspiration,KT003,432.98,somewhere,
wh aspiration,KT003,445.64,what,
wh aspiration,KT003,460.84,what,
wh aspiration,KT003,534.35,what,
wh aspiration,KT003,574.73,what,
wh aspiration,KT003,576.46,what,
wh aspiration,KT003,594.72,what,
wh aspiration,KT003,606,when,
wh aspiration,KT003,607.08,when,
wh aspiration,KT003,648.68,why,
wh aspiration,KT003,711.51,what,
wh aspiration,KT003,780.76,what,
wh aspiration,KT003,802.12,when,
wh aspiration,KT003,811.6,what,
wh aspiration,KT003,815.07,what,
wh aspiration,KT003,828.28,what,
wh aspiration,KT003,831.29,what,
wh aspiration,KT003,873.6,whichever,
wh aspiration,KT003,887.61,which,
wh aspiration,KT003,890.02,when,
wh aspiration,KT003,927.59,what,
wh aspiration,KT003,955.94,what,
wh aspiration,KT003,1007.95,what,
wh aspiration,KT003,1009.9,when,
wh aspiration,KT003,1011.05,when,
wh aspiration,KT003,1022.91,which,
wh aspiration,KT003,1023.7,when,
wh aspiration,KT003,1056.32,what,
wh aspiration,KT003,1063.19,when,
wh aspiration,KT003,1098.68,when,
wh aspiration,KT003,1165.42,when,
wh aspiration,KT003,1183.89,when,
wh aspiration,KT003,1196.83,where,
wh aspiration,KT003,1217.53,which,
wh aspiration,KT003,1229.08,when,
wh aspiration,KT003,1247.96,when,
wh aspiration,KT003,1304.59,what,
wh aspiration,KT003,1306.32,when,
wh aspiration,KT003,1311.16,what,
wh aspiration,KT003,1330.42,what,
wh aspiration,KT003,1418.06,what,
wh aspiration,KT003,1440.65,when,
wh aspiration,KT003,1441.55,whooping,
wh aspiration,KT003,1451.41,whooping,
wh aspiration,KT003,1462.1,what,
wh aspiration,KT003,1473.06,where,
wh aspiration,KT003,1520.08,what,
wh aspiration,KT003,1535.72,what,
wh aspiration,KT003,1569.29,what,
wh aspiration,KT003,1660.19,when,
velar nasals,KT004,28.23,living,
velar nasals,KT004,38.67,going,
velar nasals,KT004,127.84,living,
velar nasals,KT004,150.47,bank,
velar nasals,KT004,182.63,growing,
velar nasals,KT004,186.81,growing,
velar nasals,KT004,189.02,going,
velar nasals,KT004,223.14,having,
velar nasals,KT004,231.48,growing,
velar nasals,KT004,294.53,cummings,
velar nasals,KT004,300.26,anything,
velar nasals,KT004,314.94,something,
velar nasals,KT004,330.25,wedding,
velar nasals,KT004,378.2,growing,
velar nasals,KT004,380.73,growing,
velar nasals,KT004,429.72,going,
velar nasals,KT004,438.77,going,
velar nasals,KT004,493.53,telling,
velar nasals,KT004,521.43,sing,
velar nasals,KT004,584.85,playing,
velar nasals,KT004,599.46,going,
velar nasals,KT004,707.19,things,
velar nasals,KT004,768.38,growing,
velar nasals,KT004,790.91,everything,
velar nasals,KT004,795.76,thanksgiving,
velar nasals,KT004,796.46,thanksgiving,
velar nasals,KT004,801.55,uncles,
velar nasals,KT004,804.99,thanksgiving,
velar nasals,KT004,805.5,thanksgiving,
velar nasals,KT004,806.91,having,
velar nasals,KT004,807.61,thanksgiving,
velar nasals,KT004,808.05,thanksgiving,
velar nasals,KT004,856.59,bring,
velar nasals,KT004,891.66,during,
velar nasals,KT004,959.54,young,
velar nasals,KT004,979.75,things,
velar nasals,KT004,1000.21,gathering,
velar nasals,KT004,1124.71,going,
velar nasals,KT004,1189.05,think,
velar nasals,KT004,1201.43,uncle,
velar nasals,KT004,1259.62,hunting,
velar nasals,KT004,1260.18,fishing,
velar nasals,KT004,1266.1,hunting,
velar nasals,KT004,1301.6,hunting,
velar nasals,KT004,1323.61,hunting,
velar nasals,KT004,1328.72,hunting,
velar nasals,KT004,1354.17,hunting,
velar nasals,KT004,1358.2,hunting,
velar nasals,KT004,1368.04,hunting,
velar nasals,KT004,1371.16,hunting,
velar nasals,KT004,1373.18,fizzing,
velar nasals,KT004,1373.54,hunting,
velar nasals,KT004,1377.15,fizzing,
velar nasals,KT004,1377.52,hunting,
velar nasals,KT004,1387.71,fishing,
velar nasals,KT004,1391.44,fishing,
velar nasals,KT004,1395.92,fishing,
velar nasals,KT004,1421.83,being,
velar nasals,KT004,1425.62,fishing,
velar nasals,KT004,1436.35,hunting,
velar nasals,KT004,1444.59,fishing,
velar nasals,KT004,1448.57,fishing,
velar nasals,KT004,1452.11,hunting,
velar nasals,KT004,1462.55,hunting,
velar nasals,KT004,1465.26,thing,
velar nasals,KT004,1472.31,hunting,
velar nasals,KT004,1474,fishing,
velar nasals,KT004,1477.88,hunting,
velar nasals,KT004,1481.86,hunting,
velar nasals,KT004,1488.27,hunting,
velar nasals,KT004,1492.51,hunting,
velar nasals,KT004,1503.72,things,
velar nasals,KT004,1564.68,clapping,
velar nasals,KT004,1565.49,cheering,
velar nasals,KT004,1576.9,everything,
velar nasals,KT004,1578.93,living,
velar nasals,KT004,1612.19,starting,
velar nasals,KT004,1626.33,thing,
velar nasals,KT004,1641.43,everything,
velar nasals,KT004,1642.83,going,
velar nasals,KT004,1643.83,everything,
velar nasals,KT004,1648.18,everything,
thr-flapping,KT004,573.44,through,
thr-flapping,KT004,888.27,through,
thr-flapping,KT004,927.16,through,
thr-flapping,KT004,942.47,through,
thr-flapping,KT004,951.94,through,
thr-flapping,KT004,1040.86,through,
thr-flapping,KT004,1167.82,through,
thr-flapping,KT004,1309.79,through,
mountain,KT004,271.24,hilton,
mountain,KT004,1519.57,peyton,
wh aspiration,KT004,34.97,when,
wh aspiration,KT004,45.38,where,
wh aspiration,KT004,47.07,what,
wh aspiration,KT004,71.61,where,
wh aspiration,KT004,125.89,where,
wh aspiration,KT004,132.45,when,
wh aspiration,KT004,158.79,when,
wh aspiration,KT004,182.12,when,
wh aspiration,KT004,185.94,when,
wh aspiration,KT004,187.49,when,
wh aspiration,KT004,203.59,when,
wh aspiration,KT004,211.9,when,
wh aspiration,KT004,230.49,when,
wh aspiration,KT004,323.25,when,
wh aspiration,KT004,324.49,when,
wh aspiration,KT004,359.59,when,
wh aspiration,KT004,377.66,when,
wh aspiration,KT004,379.78,when,
wh aspiration,KT004,397.87,when,
wh aspiration,KT004,438.07,when,
wh aspiration,KT004,497.9,when,
wh aspiration,KT004,514.07,when,
wh aspiration,KT004,524.05,when,
wh aspiration,KT004,533.81,when,
wh aspiration,KT004,539.84,which,
wh aspiration,KT004,553.99,when,
wh aspiration,KT004,561.89,where,
wh aspiration,KT004,593.71,when,
wh aspiration,KT004,635.29,when,
wh aspiration,KT004,648.36,when,
wh aspiration,KT004,656.08,when,
wh aspiration,KT004,656.89,when,
wh aspiration,KT004,672.31,where,
wh aspiration,KT004,700.64,when,
wh aspiration,KT004,701.39,while,
wh aspiration,KT004,766.43,when,
wh aspiration,KT004,781.93,when,
wh aspiration,KT004,957.97,when,
wh aspiration,KT004,967.32,when,
wh aspiration,KT004,974.02,when,
wh aspiration,KT004,989.1,which,
wh aspiration,KT004,1014.1,where,
wh aspiration,KT004,1046.51,when,
wh aspiration,KT004,1052.09,when,
wh aspiration,KT004,1060.43,when,
